seed,nodes,hop_seq,topology,tsch_ver,timeout,rejoin_time,found_nodes,leave_time,rejoin_duration,radio_on_time,radio_monitor_time
201149,2,16,group,rejoin,16,331.497,1,330,1.497,0.499,1.497
261609,2,16,group,rejoin,16,333.208,1,330,3.208,1.069,3.208
29401,2,16,group,rejoin,16,331.618,1,330,1.618,0.539,1.618
372324,2,16,group,rejoin,16,340.817,1,330,10.817,3.606,10.817
397827,2,16,group,rejoin,16,341.494,1,330,11.494,3.831,11.494
450131,2,16,group,rejoin,16,338.461,1,330,8.461,2.820,8.461
452958,2,16,group,rejoin,16,337.469,1,330,7.469,2.490,7.469
466300,2,16,group,rejoin,16,331.602,1,330,1.602,0.534,1.602
478759,2,16,group,rejoin,16,342.284,1,330,12.284,4.095,12.284
546606,2,16,group,rejoin,16,331.699,1,330,1.699,0.566,1.699
628221,2,16,group,rejoin,16,332.179,1,330,2.179,0.726,2.179
6600,2,16,group,rejoin,16,331.802,1,330,1.802,0.601,1.802
742914,2,16,group,rejoin,16,332.566,1,330,2.566,0.855,2.566
818168,2,16,group,rejoin,16,332.13,1,330,2.13,0.710,2.13
964304,2,16,group,rejoin,16,331.807,1,330,1.807,0.602,1.807
121805,3,16,group,rejoin,16,340.997,2,330,10.997,3.666,10.997
138751,3,16,group,rejoin,16,340.974,2,330,10.974,3.658,10.974
154867,3,16,group,rejoin,16,354.982,2,330,24.982,8.327,24.982
210416,3,16,group,rejoin,16,333.146,2,330,3.146,1.049,3.146
261609,3,16,group,rejoin,16,341.767,2,330,11.767,3.922,11.767
329332,3,16,group,rejoin,16,334.761,2,330,4.761,1.587,4.761
374167,3,16,group,rejoin,16,332.972,2,330,2.972,0.991,2.972
379061,3,16,group,rejoin,16,340.677,2,330,10.677,3.559,10.677
380162,3,16,group,rejoin,16,340.548,2,330,10.548,3.516,10.548
429558,3,16,group,rejoin,16,341.504,2,330,11.504,3.835,11.504
530823,3,16,group,rejoin,16,354.752,2,330,24.752,8.251,24.752
569742,3,16,group,rejoin,16,341.413,2,330,11.413,3.804,11.413
719532,3,16,group,rejoin,16,338.973,2,330,8.973,2.991,8.973
796353,3,16,group,rejoin,16,339.945,2,330,9.945,3.315,9.945
89764,3,16,group,rejoin,16,343.584,2,330,13.584,4.528,13.584
135965,4,16,group,rejoin,16,340.452,2,330,10.452,3.484,10.452
179573,4,16,group,rejoin,16,340.76,2,330,10.76,3.587,10.76
179915,4,16,group,rejoin,16,343.749,2,330,13.749,4.583,13.749
193970,4,16,group,rejoin,16,345.3,2,330,15.3,5.100,15.3
