seed,nodes,hop_seq,topology,tsch_ver,timeout,net_est,eb_first_time,join_time,found_nodes
18067,4,12,group,classic,16,31.298,202.247,218.29,1
198254,4,12,group,classic,16,31.41,193.61,209.653,2
223397,4,12,group,classic,16,30.586,194.907,210.958,1
224512,4,12,group,classic,16,31.331,188.543,204.586,1
230330,4,12,group,classic,16,30.792,180.478,196.521,1
344743,4,12,group,classic,16,30.634,239.148,255.198,1
411183,4,12,group,classic,16,31.33,181.528,197.572,1
41952,4,12,group,classic,16,30.97,217.28,233.331,1
586610,4,12,group,classic,16,30.996,201.947,217.99,2
736730,4,12,group,classic,16,30.548,244.872,260.923,2
751631,4,12,group,classic,16,31.42,208.929,224.973,1
788742,4,12,group,classic,16,30.548,233.656,249.706,2
801892,4,12,group,classic,16,30.973,192.145,208.195,2
894567,4,12,group,classic,16,30.999,188.79,204.841,1
979425,4,12,group,classic,16,30.877,320.335,336.385,1
18067,4,16,group,classic,16,31.298,579.217,595.267,1
198254,4,16,group,classic,16,31.41,194.33,210.38,1
224512,4,16,group,classic,16,31.331,218.225,234.273,1
374261,4,16,group,classic,16,30.911,189.29,205.334,1
411183,4,16,group,classic,16,31.33,386.794,402.838,1
416898,4,16,group,classic,16,30.76,233.912,249.956,1
417287,4,16,group,classic,16,30.672,180.405,196.449,1
41952,4,16,group,classic,16,30.97,362.32,378.37,1
586610,4,16,group,classic,16,30.996,201.947,217.99,2
642636,4,16,group,classic,16,31.157,198.102,214.145,1
788742,4,16,group,classic,16,30.548,238.749,254.8,1
801892,4,16,group,classic,16,30.973,353.136,369.18,1
889135,4,16,group,classic,16,30.921,206.461,222.504,2
894567,4,16,group,classic,16,30.999,204.422,220.466,1
943875,4,16,group,classic,16,31.413,309.789,325.832,1
108422,4,4,group,classic,16,31.1,191.503,207.553,1
18067,4,4,group,classic,16,31.298,202.247,218.29,1
198254,4,4,group,classic,16,31.41,193.61,209.653,2
224512,4,4,group,classic,16,31.331,188.543,204.586,2
230330,4,4,group,classic,16,30.792,180.478,196.521,1
374261,4,4,group,classic,16,30.91,189.29,205.334,1
41952,4,4,group,classic,16,30.97,240.476,256.526,2
458230,4,4,group,classic,16,30.64,182.712,198.755,2
505318,4,4,group,classic,16,31.507,182.498,198.548,1
521465,4,4,group,classic,16,30.611,180.251,196.301,1
586610,4,4,group,classic,16,30.996,196.854,212.896,2
788742,4,4,group,classic,16,30.547,181.498,197.542,2
801892,4,4,group,classic,16,30.973,188.769,204.813,2
894567,4,4,group,classic,16,30.999,188.79,204.841,2
979425,4,4,group,classic,16,30.877,222.6,238.57,1
18067,4,8,group,classic,16,31.298,202.247,218.29,1
198254,4,8,group,classic,16,31.41,194.33,210.38,1
247656,4,8,group,classic,16,31.505,188.713,204.756,1
374261,4,8,group,classic,16,30.91,189.29,205.334,1
396164,4,8,group,classic,16,31.279,265.149,281.198,1
411183,4,8,group,classic,16,31.33,194.95,210.994,1
41952,4,8,group,classic,16,30.97,240.476,256.526,1
586610,4,8,group,classic,16,30.996,196.854,212.897,1
704670,4,8,group,classic,16,30.613,222.54,238.105,1
788742,4,8,group,classic,16,30.547,194.921,210.964,1
801892,4,8,group,classic,16,30.973,295.161,311.211,1
893135,4,8,group,classic,16,30.726,227.436,243.485,1
894567,4,8,group,classic,16,30.999,188.79,204.841,2
953320,4,8,group,classic,16,30.879,202.956,219.7,1
979425,4,8,group,classic,16,30.877,267.904,283.947,1
18067,4,12,group,custom,16,31.298,202.247,211.748,3
198254,4,12,group,custom,16,31.41,193.61,198.339,3
224512,4,12,group,custom,16,31.331,188.543,194.576,2
230330,4,12,group,custom,16,30.792,180.478,188.42,2
312285,4,12,group,custom,16,31.6,351.235,359.341,3
411183,4,12,group,custom,16,31.33,181.528,192.924,3
41952,4,12,group,custom,16,30.97,217.28,227.728,3
448438,4,12,group,custom,16,31.4,309.464,314.58,3
586610,4,12,group,custom,16,30.996,201.947,211.492,3
