seed,nodes,hop_seq,topology,tsch_ver,timeout,net_est,eb_first_time,join_time,found_nodes,assoc_by_timeout
65890,4,4,ellipse,custom,4,216.2,212.9,216.2,1,FALSE
237601,4,4,ellipse,custom,4,44.9,146.4,150.5,1,TRUE
268521,4,4,ellipse,custom,4,8.9,165.3,169.4,1,TRUE
537634,4,4,ellipse,custom,4,16.8,126.9,130.9,1,TRUE
571714,4,4,ellipse,custom,4,49.6,130.4,134.5,2,TRUE
881378,4,4,ellipse,custom,4,63.8,125.3,128.3,3,FALSE
928542,4,4,ellipse,custom,4,59.6,124.5,127.4,3,FALSE
963159,4,4,ellipse,custom,4,8.7,144.5,148.6,1,TRUE
978437,4,4,ellipse,custom,4,8.7,129.7,133.7,2,TRUE
38185,4,4,ellipse,custom,4,8.809,177.768,181.843,2,TRUE
129163,4,4,ellipse,custom,4,9.425,148.568,152.647,2,TRUE
152681,4,4,ellipse,custom,4,8.731,170.567,174.64,2,TRUE
156083,4,4,ellipse,custom,4,48.624,151.728,155.8,2,TRUE
263444,4,4,ellipse,custom,4,31.23,169.965,174.39,2,TRUE
287241,4,4,ellipse,custom,4,17.128,123.791,127.865,2,TRUE
321914,4,4,ellipse,custom,4,49.56,126.248,130.322,1,TRUE
349935,4,4,ellipse,custom,4,30.838,137.808,141.875,1,TRUE
434955,4,4,ellipse,custom,4,45.464,158.828,162.903,1,TRUE
495203,4,4,ellipse,custom,4,44.749,131.7,135.82,2,TRUE
526980,4,4,ellipse,custom,4,30.806,144.2,146.499,3,FALSE
589599,4,4,ellipse,custom,4,17.631,123.616,126.973,3,FALSE
599972,4,4,ellipse,custom,4,17.6,139.575,143.646,1,TRUE
832359,4,4,ellipse,custom,4,30.73,133.652,137.725,1,TRUE
949002,4,4,ellipse,custom,4,9.486,144.886,148.961,2,TRUE
65890,4,4,ellipse,custom,8,220.2,212.9,220.2,1,FALSE
237601,4,4,ellipse,custom,8,44.9,146.4,154.2,2,TRUE
268521,4,4,ellipse,custom,8,8.9,165.3,173.4,2,TRUE
537634,4,4,ellipse,custom,8,16.8,126.9,134.9,1,TRUE
