seed,nodes,hop_seq,topology,tsch_ver,timeout,net_est,eb_first_time,join_time,found_nodes,pw_time,radio_on_time,radio_on_pct,radio_tx_time,radio_tx_pct,radio_rx_time,radio_rx_pct,radio_int_time,radio_int_pct
136380,2,16,group,classic,180,,362.920,542.969,1,362.925,362.925,100,0.0,0,0.1,0,0.0,0
281615,2,16,group,classic,180,,184.850,364.893,1,184.846,184.846,100,0.0,0,0.3,0,0.0,0
313919,2,16,group,classic,180,,211.428,391.471,1,211.424,211.424,100,0.0,0,0.1,0,0.5,0
355004,2,16,group,classic,180,,211.758,391.801,1,211.753,211.753,100,0.0,0,0.8,0,0.0,0
361209,2,16,group,classic,180,,331.675,511.718,1,331.674,331.674,100,0.0,0,0.1,0,0.0,0
400708,2,16,group,classic,180,,331.617,511.660,1,331.612,331.612,100,0.0,0,0.1,0,0.0,0
45843,2,16,group,classic,180,,211.773,391.816,1,211.768,211.768,100,0.0,0,0.1,0,0.0,0
538229,2,16,group,classic,180,,302.744,482.787,1,302.745,302.745,100,0.0,0,0.3,0,0.0,0
573085,2,16,group,classic,180,,225.345,405.388,1,225.346,225.346,100,0.0,0,0.3,0,0.0,0
634707,2,16,group,classic,180,,363.773,543.816,1,363.768,363.768,100,0.0,0,0.1,0,0.2,0
699586,2,16,group,classic,180,,332.260,512.303,1,332.260,332.260,100,0.0,0,0.1,0,0.0,0
716622,2,16,group,classic,180,,225.401,405.444,1,225.401,225.401,100,0.0,0,0.3,0,0.0,0
719973,2,16,group,classic,180,,199.19,379.61,1,199.18,199.18,100,0.0,0,0.5,0,0.0,0
759338,2,16,group,classic,180,,185.211,365.254,1,185.206,185.206,100,0.0,0,0.3,0,0.0,0
857142,2,16,group,classic,180,,225.270,405.313,1,225.268,225.268,100,0.0,0,0.1,0,0.0,0
136380,2,16,group,custom,16,,362.920,362.963,1,182.968,182.968,100,0.0,0,0.1,0,0.0,0
281615,2,16,group,custom,16,,184.851,184.893,1,4.897,4.897,100,0.0,0,0.1,0.04,0.0,0
313919,2,16,group,custom,16,,211.428,211.471,1,31.474,31.474,100,0.0,0,0.1,0.01,0.0,0
361209,2,16,group,custom,16,,331.675,331.718,1,151.724,151.724,100,0.0,0,0.1,0,0.0,0
400708,2,16,group,custom,16,,331.618,331.660,1,151.662,151.662,100,0.0,0,0.1,0,0.0,0
45843,2,16,group,custom,16,,211.773,211.816,1,31.818,31.818,100,0.0,0,0.1,0.01,0.0,0
47068,2,16,group,custom,16,,596.633,596.675,1,416.678,416.678,100,0.0,0,0.1,0,0.0,0
538229,2,16,group,custom,16,,302.744,302.787,1,122.794,122.794,100,0.0,0,0.1,0,0.0,0
573085,2,16,group,custom,16,,225.345,225.388,1,45.396,45.396,100,0.0,0,0.1,0,0.0,0
634707,2,16,group,custom,16,,363.773,363.816,1,183.818,183.818,100,0.0,0,0.1,0,0.2,0
716622,2,16,group,custom,16,,225.401,225.443,1,45.450,45.450,100,0.0,0,0.1,0,0.0,0
719973,2,16,group,custom,16,,199.19,199.61,1,19.68,19.68,100,0.0,0,0.1,0.01,0.0,0
759338,2,16,group,custom,16,,185.211,185.254,1,5.255,5.255,100,0.0,0,0.1,0.04,0.0,0
857142,2,16,group,custom,16,,225.270,225.313,1,45.318,45.318,100,0.0,0,0.1,0,0.0,0
97581,2,16,group,custom,16,,390.491,390.534,1,210.537,210.537,100,0.0,0,0.1,0,0.0,0
156218,3,16,group,classic,180,30.818,187.983,368.26,1,187.979,187.979,100,0,0,0.1,0,0,0
165942,3,16,group,classic,180,30.617,207.149,387.192,1,207.143,207.143,100,0,0,0.5,0,0,0
360460,3,16,group,classic,180,30.55,297.172,477.215,2,297.167,297.167,100,0,0,0.7,0,0.1,0
496129,3,16,group,classic,180,31.241,214.708,394.751,2,214.706,214.706,100,0,0,0.6,0,0,0
534979,3,16,group,classic,180,31.192,297.811,477.854,1,297.807,297.807,100,0,0,0.2,0,0,0
565566,3,16,group,classic,180,31.425,396.11,576.153,1,396.104,396.104,100,0,0,0.11,0,0,0
57337,3,16,group,classic,180,30.83,253.33,433.82,1,253.34,253.34,100,0,0,0.6,0,0,0
598189,3,16,group,classic,180,31.458,256.544,436.592,2,256.549,256.549,100,0,0,0.6,0,0,0
612583,3,16,group,classic,180,31.81,240.5,420.543,2,240.495,240.495,100,0,0,0.9,0,0,0
703927,3,16,group,classic,180,31.454,383.611,563.659,2,383.612,383.612,100,0,0,0.13,0,0.1,0
707541,3,16,group,classic,180,30.998,415.133,595.183,1,415.135,415.135,100,0,0,0.2,0,0,0
748296,3,16,group,classic,180,31.406,240.819,420.862,2,240.815,240.815,100,0,0,0.7,0,0,0
751522,3,16,group,classic,180,30.791,297.407,477.45,2,297.401,297.401,100,0,0,0.12,0,0,0
844344,3,16,group,classic,180,31.49,214.957,395,2,214.956,214.956,100,0,0,0.9,0,0,0
985374,3,16,group,classic,180,30.735,214.207,394.25,2,214.206,214.206,100,0,0,0.11,0.01,0,0
156218,3,16,group,custom,16,30.818,187.984,188.26,1,8.29,8.29,100,0,0,0.1,0.02,0,0
165942,3,16,group,custom,16,30.617,207.15,219.31,2,39.31,31.245,79.48,0,0,0.4,0.01,0,0
360460,3,16,group,custom,16,30.55,297.172,299.605,2,119.607,118.24,98.68,0,0,0.7,0.01,0,0
496129,3,16,group,custom,16,31.241,214.708,223.222,2,43.226,37.593,86.97,0,0,0.4,0.01,0,0
534979,3,16,group,custom,16,31.192,297.811,308.71,2,128.714,121.485,94.38,0,0,0.4,0,0,0
565566,3,16,group,custom,16,31.425,396.11,398.809,2,218.81,217.49,99.19,0,0,0.4,0,0,0
57337,3,16,group,custom,16,30.83,253.33,254.341,2,74.342,73.504,98.87,0,0,0.4,0.01,0,0
598189,3,16,group,custom,16,31.458,256.544,269.473,2,89.48,80.927,90.44,0,0,0.11,0.01,0,0
