seed,nodes,hop_seq,topology,tsch_ver,timeout,net_est,eb_first_time,join_time,found_nodes
148921,2,16,group,classic,180,0.0,331.358,511.401,1
1882,2,16,group,classic,180,0.0,331.449,511.493,1
258363,2,16,group,classic,180,0.0,184.886,364.936,1
320808,2,16,group,classic,180,0.0,303.204,483.254,1
353205,2,16,group,classic,180,0.0,363.467,543.518,1
364960,2,16,group,classic,180,0.0,331.351,511.394,1
448727,2,16,group,classic,180,0.0,211.516,391.560,1
486631,2,16,group,classic,180,0.0,289.438,469.481,1
606952,2,16,group,classic,180,0.0,331.488,511.531,1
661771,2,16,group,classic,180,0.0,276.32,456.76,1
676705,2,16,group,classic,180,0.0,331.972,512.16,1
7119,2,16,group,classic,180,0.0,302.842,482.886,1
750491,2,16,group,classic,180,0.0,391.232,571.282,1
762633,2,16,group,classic,180,0.0,332.142,512.185,1
88227,2,16,group,classic,180,0.0,185.334,365.378,1
148921,2,16,group,custom,16,0.0,331.358,331.401,1
1882,2,16,group,custom,16,0.0,331.449,331.492,1
258363,2,16,group,custom,16,0.0,184.886,184.929,1
280880,2,16,group,custom,16,0.0,446.513,446.556,1
320808,2,16,group,custom,16,0.0,303.204,303.247,1
353205,2,16,group,custom,16,0.0,363.467,363.510,1
364960,2,16,group,custom,16,0.0,331.351,331.394,1
448727,2,16,group,custom,16,0.0,211.516,211.559,1
486631,2,16,group,custom,16,0.0,289.438,289.480,1
564978,2,16,group,custom,16,0.0,433.858,433.901,1
661771,2,16,group,custom,16,0.0,276.32,276.75,1
676705,2,16,group,custom,16,0.0,331.972,332.15,1
750491,2,16,group,custom,16,0.0,391.232,391.274,1
762633,2,16,group,custom,16,0.0,332.142,332.185,1
88227,2,16,group,custom,16,0.0,185.334,185.377,1
145065,3,16,group,classic,180,31.135,214.606,394.655,1
18402,3,16,group,classic,180,31.190,188.447,368.491,1
224717,3,16,group,classic,180,31.144,268.934,448.977,1
232587,3,16,group,classic,180,30.914,282.494,297.576,2
362439,3,16,group,classic,180,31.360,400.365,580.408,1
454470,3,16,group,classic,180,31.117,269.131,313.633,2
458959,3,16,group,classic,180,30.914,214.28,240.376,2
488346,3,16,group,classic,180,30.675,183.380,187.970,2
536378,3,16,group,classic,180,30.963,313.442,339.884,2
547005,3,16,group,classic,180,31.2,197.850,377.898,1
667991,3,16,group,classic,180,30.956,297.580,404.733,2
695687,3,16,group,classic,180,30.978,305.301,323.46,2
758598,3,16,group,classic,180,30.781,260.603,440.647,1
